year,month,zipcode,Unique_Key
2019,2,11004,10
2019,2,11040,4
2019,2,11101,163
2019,2,11102,114
2019,2,11103,138
2019,2,11104,77
2019,2,11105,117
2019,2,11106,161
2019,2,11109,1
2019,2,11201,372
2019,2,11203,98
2019,2,11204,71
2019,2,11205,220
2019,2,11206,510
2019,2,11207,204
2019,2,11208,183
2019,2,11209,125
2019,2,11210,111
2019,2,11211,300
2019,2,11212,224
2019,2,11213,185
2019,2,11214,97
2019,2,11215,195
2019,2,11216,283
2019,2,11217,209
2019,2,11218,90
2019,2,11219,91
2019,2,11220,154
2019,2,11221,371
2019,2,11222,195
2019,2,11223,171
2019,2,11224,100
2019,2,11225,272
2019,2,11226,413
2019,2,11228,30
2019,2,11229,144
2019,2,11230,180
2019,2,11231,99
2019,2,11232,84
2019,2,11233,236
2019,2,11234,83
2019,2,11235,182
2019,2,11236,108
2019,2,11237,258
2019,2,11238,293
2019,2,11239,16
2019,2,11249,183
2019,2,11354,80
2019,2,11355,79
2019,2,11356,39
2019,2,11357,31
2019,2,11358,41
2019,2,11360,3
2019,2,11361,19
2019,2,11362,8
2019,2,11363,10
2019,2,11364,33
2019,2,11365,95
2019,2,11366,645
2019,2,11367,66
2019,2,11368,127
2019,2,11369,52
2019,2,11370,33
2019,2,11372,179
2019,2,11373,117
2019,2,11374,94
2019,2,11375,151
2019,2,11377,140
2019,2,11378,34
2019,2,11379,52
2019,2,11385,393
2019,2,11411,42
2019,2,11412,17
2019,2,11413,18
2019,2,11414,27
2019,2,11415,52
2019,2,11416,30
2019,2,11417,64
2019,2,11418,76
2019,2,11419,103
2019,2,11420,54
2019,2,11421,59
2019,2,11422,18
2019,2,11423,27
2019,2,11426,8
2019,2,11427,12
2019,2,11428,15
2019,2,11429,13
2019,2,11430,1
2019,2,11432,369
2019,2,11433,50
2019,2,11434,82
2019,2,11435,127
2019,2,11436,13
2019,2,11691,134
2019,2,11692,46
2019,2,11693,23
2019,2,11694,29
2019,2,11697,1
2019,2,12345,2
2019,3,83,1
2019,3,10000,1
2019,3,10001,295
2019,3,10002,470
2019,3,10003,406
2019,3,10004,42
2019,3,10005,94
2019,3,10006,25
2019,3,10007,64
2019,3,10009,504
2019,3,10010,190
2019,3,10011,367
2019,3,10012,211
2019,3,10013,214
2019,3,10014,225
2019,3,10016,470
2019,3,10017,102
2019,3,10018,92
2019,3,10019,327
2019,3,10020,6
2019,3,10021,121
2019,3,10022,125
2019,3,10023,231
2019,3,10024,290
2019,3,10025,383
2019,3,10026,387
2019,3,10027,375
2019,3,10028,170
2019,3,10029,385
2019,3,10030,189
2019,3,10031,551
2019,3,10032,504
2019,3,10033,509
2019,3,10034,444
2019,3,10035,186
2019,3,10036,174
2019,3,10037,108
2019,3,10038,98
2019,3,10039,273
2019,3,10040,416
2019,3,10044,9
2019,3,10045,1
2019,3,10065,92
2019,3,10069,7
2019,3,10075,79
2019,3,10105,1
2019,3,10106,8
2019,3,10118,4
2019,3,10128,267
2019,3,10152,8
2019,3,10154,1
2019,3,10158,1
2019,3,10162,1
2019,3,10165,1
2019,3,10172,1
2019,3,10174,1
2019,3,10271,1
2019,3,10279,1
2019,3,10280,8
2019,3,10282,8
2019,3,10301,236
2019,3,10302,23
2019,3,10303,47
2019,3,10304,114
2019,3,10305,40
2019,3,10306,63
2019,3,10307,18
2019,3,10308,31
2019,3,10309,36
2019,3,10310,74
2019,3,10312,30
2019,3,10314,132
2019,3,10451,244
2019,3,10452,447
2019,3,10453,429
2019,3,10454,201
2019,3,10455,212
2019,3,10456,401
2019,3,10457,412
2019,3,10458,452
2019,3,10459,245
2019,3,10460,227
2019,3,10461,184
2019,3,10462,291
2019,3,10463,385
2019,3,10464,14
2019,3,10465,80
2019,3,10466,181
2019,3,10467,515
2019,3,10468,511
2019,3,10469,87
2019,3,10470,78
2019,3,10471,85
2019,3,10472,294
2019,3,10473,171
2019,3,10474,53
2019,3,10475,38
2019,3,11001,3
2019,3,11004,3
2019,3,11040,18
2019,3,11101,197
2019,3,11102,148
2019,3,11103,165
2019,3,11104,77
2019,3,11105,151
2019,3,11106,160
2019,3,11109,2
2019,3,11201,428
2019,3,11203,157
2019,3,11204,113
2019,3,11205,324
2019,3,11206,608
2019,3,11207,347
2019,3,11208,254
2019,3,11209,195
2019,3,11210,162
2019,3,11211,461
2019,3,11212,217
2019,3,11213,267
2019,3,11214,111
2019,3,11215,156
2019,3,11216,274
2019,3,11217,283
2019,3,11218,125
2019,3,11219,113
2019,3,11220,197
2019,3,11221,468
2019,3,11222,261
2019,3,11223,140
2019,3,11224,114
2019,3,11225,397
2019,3,11226,544
2019,3,11228,40
2019,3,11229,191
2019,3,11230,253
2019,3,11231,111
2019,3,11232,108
2019,3,11233,279
2019,3,11234,152
2019,3,11235,174
2019,3,11236,109
2019,3,11237,324
2019,3,11238,319
2019,3,11239,12
2019,3,11249,199
2019,3,11354,95
2019,3,11355,89
2019,3,11356,74
2019,3,11357,34
2019,3,11358,76
2019,3,11360,14
2019,3,11361,38
2019,3,11362,15
2019,3,11363,10
2019,3,11364,49
2019,3,11365,93
2019,3,11366,998
2019,3,11367,95
2019,3,11368,215
2019,3,11369,55
2019,3,11370,26
2019,3,11372,198
2019,3,11373,144
2019,3,11374,113
2019,3,11375,157
2019,3,11377,211
2019,3,11378,61
2019,3,11379,72
2019,3,11385,550
2019,3,11411,41
2019,3,11412,32
2019,3,11413,30
2019,3,11414,63
2019,3,11415,84
2019,3,11416,66
2019,3,11417,61
2019,3,11418,96
2019,3,11419,264
2019,3,11420,100
2019,3,11421,98
2019,3,11422,20
2019,3,11423,39
2019,3,11426,11
2019,3,11427,27
2019,3,11428,38
2019,3,11429,21
2019,3,11432,621
2019,3,11433,81
2019,3,11434,100
2019,3,11435,187
2019,3,11436,22
2019,3,11691,142
2019,3,11692,45
2019,3,11693,36
2019,3,11694,59
2019,3,12345,2
2019,4,10000,18
2019,4,10001,265
2019,4,10002,555
2019,4,10003,438
2019,4,10004,25
2019,4,10005,73
2019,4,10006,27
2019,4,10007,80
2019,4,10009,552
2019,4,10010,172
2019,4,10011,327
2019,4,10012,269
2019,4,10013,328
2019,4,10014,277
2019,4,10016,361
2019,4,10017,89
2019,4,10018,86
2019,4,10019,425
2019,4,10020,2
2019,4,10021,127
2019,4,10022,148
2019,4,10023,326
2019,4,10024,321
2019,4,10025,368
2019,4,10026,448
2019,4,10027,418
2019,4,10028,177
2019,4,10029,476
2019,4,10030,243
2019,4,10031,641
2019,4,10032,731
2019,4,10033,674
2019,4,10034,523
2019,4,10035,231
2019,4,10036,220
2019,4,10037,136
2019,4,10038,140
2019,4,10039,253
2019,4,10040,459
2019,4,10044,12
2019,4,10065,79
2019,4,10069,8
2019,4,10075,84
2019,4,10105,16
2019,4,10106,9
2019,4,10107,1
2019,4,10115,2
2019,4,10123,2
2019,4,10128,171
2019,4,10162,1
2019,4,10165,1
2019,4,10171,1
2019,4,10271,1
2019,4,10279,1
2019,4,10280,17
2019,4,10281,2
2019,4,10282,13
2019,4,10301,190
2019,4,10302,39
2019,4,10303,57
2019,4,10304,140
2019,4,10305,57
2019,4,10306,58
2019,4,10307,20
2019,4,10308,33
2019,4,10309,32
2019,4,10310,72
2019,4,10312,72
2019,4,10314,122
2019,4,10451,241
2019,4,10452,528
2019,4,10453,512
2019,4,10454,205
2019,4,10455,279
2019,4,10456,494
2019,4,10457,493
2019,4,10458,503
2019,4,10459,241
2019,4,10460,375
2019,4,10461,140
2019,4,10462,199
2019,4,10463,428
2019,4,10464,18
2019,4,10465,98
2019,4,10466,213
2019,4,10467,629
2019,4,10468,557
2019,4,10469,171
2019,4,10470,113
2019,4,10471,59
2019,4,10472,253
2019,4,10473,177
2019,4,10474,104
2019,4,10475,22
2019,4,11001,26
2019,4,11004,13
2019,4,11040,12
2019,4,11101,214
2019,4,11102,213
2019,4,11103,171
2019,4,11104,105
2019,4,11105,185
2019,4,11106,218
2019,4,11109,11
2019,4,11201,516
2019,4,11203,161
2019,4,11204,99
2019,4,11205,285
2019,4,11206,649
2019,4,11207,354
2019,4,11208,402
2019,4,11209,209
2019,4,11210,167
2019,4,11211,473
2019,4,11212,290
2019,4,11213,308
2019,4,11214,159
2019,4,11215,213
2019,4,11216,491
2019,4,11217,349
2019,4,11218,175
2019,4,11219,116
2019,4,11220,279
2019,4,11221,617
